year;programa;subprograma;proyecto;actividad;grupo;subgrupo;renglon;departamento;municipio;fuenteag;ejecucioncuanti;ejecucioncuali
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;922;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;923;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;9;924;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1001;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1002;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1003;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1004;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1005;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1006;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1007;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1008;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1009;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1010;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1011;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1012;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1013;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1014;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1015;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1016;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1017;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1018;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1019;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1020;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;10;1021;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;11;1101;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;11;1102;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;11;1103;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;11;1104;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;11;1105;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;11;1106;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;11;1107;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;11;1108;10;0.814814815;baja
2016;05;05 00;05 00 000;05 00 000 003 000;1;12;122;11;1109;10;0.814814815;baja
